,Значения
0,-3636
1,-526
2,-4601
3,-9930
4,5644
5,5723
6,-2158
7,-4548
8,4326
9,-9484
10,9020
11,-3036
12,4559
13,9258
14,-1327
15,-3080
16,-745
17,2393
18,-4198
19,8241
20,59
21,-5700
22,9038
23,2565
24,6504
25,-907
26,-3090
27,-2937
28,7093
29,-5073
30,4278
31,8929
32,6048
33,7977
34,4537
35,5403
36,-323
37,-8687
38,-4645
39,-3327
40,7323
41,-5077
42,-700
43,5070
44,-4268
45,8335
46,4494
47,-5135
48,-2725
49,5316
50,3522
51,-1277
52,-8622
53,-9027
54,2762
55,2780
56,-2857
57,-1953
58,-3192
59,-8737
60,-6430
61,6336
62,1132
63,6099
64,4490
65,-3019
66,7565
67,-3921
68,-2448
69,6031
70,813
71,7201
72,-5707
73,52
74,823
75,3730
76,8304
77,4581
78,-1103
79,3198
80,-9910
81,-7349
82,-1713
83,-4182
84,2854
85,4817
86,-1384
87,3294
88,-8063
89,-5928
90,-5227
91,8668
92,7078
93,2107
94,5652
95,3733
96,-8893
97,4498
98,-7484
99,2214
100,-7870
101,-470
102,-8329
103,2303
104,-7572
105,1635
106,6495
107,-9883
108,4845
109,3039
110,5749
111,-9508
112,-9996
113,5935
114,2407
115,-7179
116,-2801
117,4176
118,4042
119,-2387
120,-8951
121,-9673
122,-1215
123,-5549
124,-5937
125,6193
126,-9140
127,563
128,-9833
129,1739
130,-4065
131,2065
132,-1212
133,4903
134,8807
135,-4923
136,-7494
137,-1463
138,6627
139,-481
140,-9484
141,7828
142,3378
143,3190
144,-4432
145,-7774
146,9714
147,3155
148,9183
149,-9527
150,-4766
151,7600
152,-1294
153,-9661
154,9193
155,-4269
156,-6565
157,-3048
158,231
159,-1008
160,-8280
161,-9646
162,-3839
163,526
164,-5517
165,8538
166,-2077
167,9045
168,-5621
169,4923
170,8459
171,-6213
172,-4199
173,-4180
174,9792
175,2436
176,662
177,-2932
178,-5553
179,9997
180,8292
181,-1757
182,8688
183,4789
184,-3372
185,-5939
186,6961
187,-8938
188,7889
189,-8114
190,-6844
191,-86
192,-8639
193,-3036
194,-2802
195,-9331
196,-5728
197,-5728
198,7267
199,2102
200,9281
201,7700
202,9132
203,5662
204,652
205,8848
206,8510
207,5432
208,-7246
209,1049
210,4789
211,-4890
212,264
213,-4091
214,-9911
215,3146
216,6957
217,-7442
218,7285
219,-2771
220,1188
221,-7396
222,7236
223,2165
224,1655
225,3689
226,-1984
227,8583
228,-4650
229,-6854
230,9297
231,5626
232,9804
233,-454
234,-7967
235,383
236,1511
237,1070
238,5539
239,-8168
240,-6173
241,940
242,-962
243,4826
244,-7473
245,8580
246,-9167
247,6858
248,-5157
249,441
250,8557
251,-4404
252,2753
253,7658
254,6887
255,7715
256,-7775
257,-601
258,-5520
259,6772
260,-7223
261,-338
262,3610
263,-7573
264,-726
265,-6352
266,1996
267,1902
268,576
269,-3936
270,5039
271,-7652
272,1173
273,-1305
274,-3010
275,-4860
276,-6406
277,-6499
278,8882
279,199
280,3148
281,-7396
282,6440
283,70
284,1080
285,-1333
286,5986
287,-906
288,214
289,-5317
290,-533
291,5958
292,-6388
293,7115
294,7678
295,-80
296,-8150
297,6050
298,7249
299,-5337
300,9297
301,2713
302,5342
303,-1854
304,5497
305,-3473
306,9814
307,-9709
308,-9301
309,2825
310,1621
311,-9635
312,9828
313,-1412
314,-8552
315,4694
316,3743
317,-1351
318,3859
319,-3741
320,7760
321,-8613
322,-4513
323,-8754
324,-9674
325,-5316
326,4132
327,8248
328,-8220
329,6976
330,7911
331,-3141
332,-9496
333,-6259
334,-7107
335,3562
336,2733
337,3263
338,928
339,-7212
340,4467
341,-3787
342,5731
343,-4062
344,-1194
345,8902
346,-2771
347,4791
348,2521
349,-9505
350,3812
351,-1657
352,5063
353,5572
354,-9292
355,7085
356,7428
357,-3558
358,-1052
359,8350
360,-5950
361,7082
362,-2557
363,-4565
364,2313
365,-4774
366,-4403
367,8076
368,1888
369,-8642
370,473
371,1939
372,6937
373,-9148
374,4648
375,-3946
376,-6302
377,-5289
378,9811
379,4688
380,-9270
381,200
382,9696
383,2088
384,985
385,8964
386,1133
387,9963
388,-5823
389,2784
390,5583
391,552
392,4602
393,9460
394,7376
395,-800
396,373
397,-3097
398,-3792
399,-4529
400,880
401,-8264
402,-1766
403,-7026
404,-3138
405,-7892
406,8112
407,9251
408,-2020
409,1809
410,-7498
411,7504
412,-7760
413,-7151
414,-7492
415,8215
416,-5507
417,-4731
418,-8013
419,-6023
420,2445
421,-3673
422,-3674
423,3429
424,-8984
425,636
426,-5114
427,8200
428,7075
429,6148
430,1928
431,-4019
432,9801
433,4103
434,-8443
435,6187
436,7281
437,-5234
438,8080
439,6124
440,764
441,590
442,9935
443,-9682
444,-6189
445,-7136
446,-1218
447,8433
448,-3352
449,-9097
450,7915
451,4051
452,-551
453,-8218
454,-4058
455,-7606
456,-3600
457,-6055
458,1241
459,-1011
460,-7814
461,-8345
462,5804
463,1670
464,4681
465,4504
466,-7615
467,27
468,9829
469,-8770
470,8944
471,-9610
472,7893
473,-7202
474,1101
475,-4714
476,6741
477,-4167
478,8434
479,-3571
480,-3795
481,-7051
482,-7847
483,-3905
484,-4840
485,217
486,-1468
487,-7047
488,4130
489,-6429
490,-8505
491,6984
492,7147
493,7772
494,3888
495,1198
496,2714
497,-306
498,3025
499,-8865
500,-8987
501,8740
502,3028
503,7569
504,-3362
505,448
506,5884
507,-3317
508,4839
509,4596
510,8987
511,1547
512,-7888
513,-4185
514,7340
515,-3591
516,6432
517,-8353
518,-8977
519,2008
520,-1873
521,4869
522,-5224
523,-7833
524,5055
525,-1054
526,-6155
527,-8022
528,2060
529,1613
530,-6169
531,8718
532,-5143
533,8933
534,2101
535,4849
536,1127
537,-1656
538,9307
539,-5061
540,-930
541,-8632
542,-3556
543,-6969
544,-5170
545,-6510
546,-5211
547,8980
548,-6330
549,-439
550,7331
551,-5422
552,282
553,-1510
554,-234
555,2354
556,2220
557,-3616
558,-2845
559,-5159
560,7678
561,-1197
562,6934
563,2375
564,-750
565,-4891
566,-4114
567,6657
568,-8230
569,2550
570,2358
571,-7436
572,7944
573,758
574,3858
575,-9548
576,-1079
577,-4358
578,725
579,-4695
580,-553
581,2021
582,-3091
583,3078
584,7236
585,8667
586,-3096
587,-2381
588,7968
589,-4002
590,-2296
591,1611
592,8444
593,-5914
594,3472
595,-6992
596,-4464
597,9143
598,1702
599,5324
600,8223
601,-5856
602,4016
603,3534
604,-3730
605,-7513
606,-7393
607,388
608,-1585
609,4565
610,-2992
611,6328
612,-1534
613,7978
614,-9353
615,1773
616,7923
617,9521
618,-934
619,7837
620,-2427
621,-1751
622,-2636
623,16
624,-3830
625,3156
626,-7801
627,3873
628,-1149
629,5152
630,253
631,8614
632,-5267
633,6314
634,3121
635,4086
636,7627
637,5258
638,-7023
639,-6888
640,1503
641,8005
642,-2856
643,-2030
644,-5345
645,-8540
646,5668
647,-2149
648,3141
649,5647
650,5531
651,9645
652,4308
653,385
654,-950
655,4307
656,-6647
657,1089
658,-681
659,-8401
660,6278
661,-1676
662,-4236
663,2426
664,-3493
665,2421
666,7957
667,745
668,-8884
669,-9746
670,-8251
671,8676
672,1081
673,-6154
674,-2154
675,6398
676,9198
677,-704
678,-2172
679,-1403
680,-6490
681,2895
682,-7218
683,-1559
684,-1922
685,9324
686,9659
687,2599
688,8146
689,-479
690,2765
691,8161
692,1059
693,1788
694,-3368
695,-5579
696,-6410
697,3681
698,6938
699,-5481
700,1767
701,-4006
702,-6387
703,-9745
704,9672
705,5721
706,6271
707,-1321
708,-6139
709,-9854
710,-5638
711,2499
712,-2253
713,8622
714,-9215
715,-6297
716,-8535
717,-766
718,-5475
719,8529
720,4174
721,4005
722,7161
723,-4113
724,1911
725,-5296
726,7554
727,5465
728,1195
729,-8313
730,-9621
731,4585
732,3319
733,-2236
734,5952
735,4591
736,9431
737,2322
738,4302
739,5630
740,-9996
741,1775
742,4732
743,805
744,-301
745,-6606
746,-9020
747,4750
748,-9745
749,-8535
750,-3174
751,-6139
752,-1582
753,-2433
754,-4466
755,7726
756,445
757,432
758,2848
759,4306
760,-9766
761,5361
762,-8610
763,1711
764,-9477
765,-7609
766,7511
767,-919
768,-4825
769,-8420
770,2938
771,4057
772,7986
773,-409
774,-920
775,-9711
776,9100
777,2149
778,-6227
779,8270
780,-7621
781,-4150
782,-2578
783,-1243
784,-7055
785,-2919
786,523
787,-3065
788,-5002
789,-2211
790,4882
791,-6169
792,701
793,748
794,5002
795,-8158
796,-6648
797,6207
798,5062
799,3368
800,-8152
801,2349
802,-5653
803,-3709
804,-9512
805,-1099
806,8095
807,-2444
808,-2789
809,-9105
810,-4646
811,-7828
812,-844
813,-5712
814,-1542
815,262
816,-337
817,-5702
818,6726
819,2791
820,-9602
821,-996
822,-8111
823,-3981
824,8967
825,-8505
826,4727
827,-9513
828,5548
829,68
830,-2838
831,-5674
832,-2060
833,1380
834,-2641
835,-2246
836,2197
837,3203
838,4543
839,1458
840,-3646
841,-4461
842,-4040
843,-1790
844,7692
845,-4661
846,-8512
847,3397
848,-1093
849,5314
850,6941
851,-4082
852,-8793
853,-4467
854,3584
855,9202
856,-7513
857,2590
858,-804
859,9577
860,9026
861,8322
862,-4216
863,-698
864,5324
865,4034
866,-4663
867,-2855
868,4634
869,-2694
870,-3141
871,-8851
872,2755
873,-4787
874,-4358
875,-7109
876,8117
877,-1902
878,-3960
879,-5947
880,-4322
881,4922
882,8165
883,4262
884,7201
885,469
886,3654
887,-7557
888,-6236
889,-5447
890,-4213
891,2697
892,5134
893,3196
894,1329
895,5114
896,-6050
897,-3939
898,-2415
899,-6489
900,-8146
901,3830
902,5187
903,5860
904,-6523
905,8485
906,8164
907,5778
908,8274
909,8490
910,3357
911,614
912,9310
913,-8642
914,-8121
915,-4819
916,4623
917,6775
918,8456
919,-7647
920,-6642
921,-1627
922,973
923,-8948
924,-9941
925,2721
926,-8320
927,4647
928,5590
929,9926
930,7586
931,-4924
932,4951
933,5006
934,-5731
935,-9309
936,9797
937,-7052
938,-4262
939,-2858
940,9261
941,9905
942,5178
943,8259
944,9791
945,7089
946,-7708
947,3159
948,5568
949,-5776
950,986
951,-7826
952,5180
953,1515
954,-4471
955,-1897
956,5002
957,8203
958,-123
959,-2915
960,-5794
961,-6089
962,-6373
963,1595
964,316
965,-457
966,-2312
967,6966
968,704
969,-413
970,9165
971,8049
972,4782
973,719
974,6311
975,-9628
976,205
977,-5609
978,-6131
979,-9835
980,7992
981,-3264
982,1355
983,-8707
984,397
985,-4741
986,-9292
987,-2749
988,-3700
989,-8461
990,6754
991,3770
992,3355
993,-864
994,-1543
995,-8564
996,-7263
997,3887
998,4226
999,5206
